service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
63,2,0,0,0,0,109,0.0,0.0,0.06,0.07,0.0,255,7,0.03,0.07,0.0,0.0,0.0,1.0,0,48275.0
12,9,44,74,0,0,18,0.0,0.0,1.0,0.0,0.0,174,134,0.77,0.01,0.0,0.0,0.0,0.0,0,53473.0
20,9,2194619,0,0,0,1,0.0,0.0,1.0,0.0,0.0,10,28,0.5,0.3,0.07,0.0,0.0,0.0,1,1691.0
14,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,255,1.0,0.0,0.25,0.0,0.0,0.0,0,117410.0
23,5,0,0,0,0,14,1.0,1.0,0.36,0.29,0.0,255,65,0.25,0.02,0.0,1.0,1.0,0.0,0,100578.0
62,9,146,0,0,0,6,0.0,0.0,0.33,0.33,0.0,178,29,0.16,0.02,0.0,0.0,0.0,0.0,0,27639.0
12,9,36,36,0,0,1,0.0,0.0,1.0,0.0,0.8,177,173,0.98,0.02,0.0,0.0,0.0,0.0,0,78889.0
51,9,756,332,0,1,1,0.0,0.0,1.0,0.0,0.0,75,53,0.71,0.07,0.0,0.0,0.0,0.0,0,962.0
20,5,0,0,0,0,79,1.0,1.0,0.24,0.05,0.0,255,39,0.15,0.06,0.0,1.0,1.0,0.0,0,38754.0
51,9,1319,328,0,1,1,0.0,0.0,1.0,0.0,1.0,248,182,0.73,0.02,0.0,0.0,0.0,0.0,0,73589.0
9,5,0,0,0,0,242,1.0,1.0,0.03,0.07,0.0,255,7,0.03,0.07,0.0,1.0,1.0,0.0,0,28849.0
41,9,146,105,0,0,4,0.0,0.0,0.5,0.5,0.0,255,2,0.01,0.64,0.0,0.0,0.0,0.0,0,92566.0
23,9,239,2858,0,1,2,0.0,0.0,1.0,0.0,0.29,149,255,1.0,0.0,0.04,0.0,0.0,0.0,0,38399.0
53,5,0,0,0,0,199,1.0,1.0,0.1,0.05,0.0,255,19,0.07,0.05,0.0,1.0,1.0,0.0,0,124709.0
4,1,0,0,0,0,135,0.0,0.0,0.11,0.07,0.0,255,15,0.06,0.07,0.0,0.0,0.0,1.0,0,28047.0
51,9,766,327,0,1,1,0.0,0.0,1.0,0.0,1.0,67,53,0.79,0.06,0.0,0.0,0.0,0.0,0,88262.0
23,9,288,956,0,1,8,0.0,0.0,1.0,0.0,0.0,138,255,1.0,0.0,0.02,0.0,0.0,0.0,0,15066.0
46,5,0,0,0,0,226,1.0,1.0,0.07,0.04,0.0,30,15,0.5,0.1,0.0,0.93,1.0,0.0,0,110799.0
12,9,44,70,0,0,202,0.0,0.0,1.0,0.01,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,88074.0
51,9,914,331,0,1,1,0.0,0.0,1.0,0.0,0.0,85,42,0.49,0.06,0.0,0.01,0.0,0.0,0,45628.0
46,5,0,0,0,0,87,1.0,1.0,0.02,0.08,0.0,255,16,0.06,0.06,0.0,1.0,1.0,0.0,0,6257.0
23,9,215,6603,0,1,1,0.0,0.0,1.0,0.0,0.44,5,255,1.0,0.0,0.02,0.0,0.0,0.0,0,23243.0
14,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,255,1.0,0.0,0.5,0.0,0.0,0.0,0,49676.0
46,5,0,0,0,0,91,1.0,1.0,0.01,0.07,0.0,255,1,0.0,0.07,0.0,1.0,1.0,0.0,0,16344.0
20,5,0,0,0,0,54,1.0,1.0,0.22,0.07,0.0,255,63,0.25,0.02,0.0,1.0,1.0,0.0,0,32468.0
46,1,0,0,0,0,189,0.0,0.0,0.03,0.07,0.0,255,5,0.02,0.07,0.0,0.0,0.0,1.0,0,89995.0
57,5,0,0,0,0,252,1.0,1.0,0.0,0.06,0.0,255,5,0.02,0.09,0.0,1.0,1.0,0.0,0,44269.0
23,9,202,9685,0,1,4,0.0,0.0,1.0,0.0,0.0,245,255,1.0,0.0,0.02,0.01,0.01,0.0,0,84350.0
23,9,239,285,0,1,11,0.0,0.0,1.0,0.0,0.0,45,255,1.0,0.0,0.01,0.0,0.0,0.0,0,66906.0
51,9,1244,335,0,1,2,0.0,0.0,0.5,1.0,1.0,20,50,0.75,0.2,0.04,0.0,0.0,0.0,0,25980.0
7,5,0,0,0,0,202,1.0,1.0,0.01,0.06,0.0,255,2,0.01,0.06,0.0,1.0,1.0,0.0,0,79545.0
23,9,207,1540,0,1,10,0.0,0.0,1.0,0.0,0.18,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,61357.0
62,9,181,0,0,0,2,0.0,0.0,0.5,1.0,0.0,255,126,0.49,0.01,0.0,0.0,0.0,0.0,0,106543.0
41,5,0,0,0,0,511,0.12,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.09,1.0,0.0,0,34966.0
41,1,0,0,0,0,411,0.09,0.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.11,0.0,1.0,0,5290.0
66,5,0,0,0,0,257,1.0,1.0,0.01,0.06,0.0,255,2,0.01,0.06,0.0,1.0,1.0,0.0,0,7448.0
23,9,151,9518,0,1,1,0.0,0.0,1.0,0.0,0.0,62,255,1.0,0.0,0.01,0.0,0.0,0.0,0,53303.0
54,5,0,0,0,0,233,1.0,1.0,0.09,0.05,0.0,255,22,0.09,0.05,0.0,1.0,1.0,0.0,0,78226.0
6,5,0,0,0,0,109,1.0,1.0,0.13,0.06,0.0,255,14,0.05,0.06,0.0,1.0,1.0,0.0,0,112669.0
51,9,579,283,0,1,1,0.0,0.0,1.0,0.0,0.0,84,170,0.67,0.05,0.01,0.0,0.0,0.0,0,21883.0
23,9,325,2077,0,1,11,0.0,0.0,1.0,0.0,0.17,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,119662.0
23,9,323,3198,0,1,76,0.0,0.0,1.0,0.0,0.06,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,14568.0
23,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,90,194,1.0,0.0,0.03,0.0,0.0,1.0,0,21706.0
20,9,637,0,0,1,6,0.0,0.0,1.0,0.0,0.0,205,58,0.28,0.02,0.0,0.0,0.0,0.0,0,4746.0
12,9,42,148,0,0,143,0.0,0.0,1.0,0.0,0.02,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,114036.0
26,5,0,0,0,0,150,1.0,1.0,0.13,0.05,0.0,255,11,0.04,0.07,0.0,1.0,1.0,0.0,0,58321.0
20,9,151,0,0,1,1,0.0,0.0,1.0,0.0,0.0,211,85,0.38,0.03,0.02,0.0,0.0,0.0,0,125516.0
23,9,231,4593,0,1,15,0.0,0.03,1.0,0.0,0.07,15,255,1.0,0.0,0.07,0.0,0.0,0.0,0,8716.0
15,9,1032,0,0,0,511,0.0,0.0,1.0,0.0,0.0,255,174,0.68,0.16,0.0,0.0,0.0,0.0,0,77268.0
23,9,293,1850,0,1,10,0.0,0.0,1.0,0.0,0.0,27,255,1.0,0.0,0.05,0.0,0.01,0.0,0,112029.0
20,9,383,0,0,1,2,0.0,0.0,1.0,0.0,0.0,165,78,0.24,0.02,0.03,0.0,0.0,0.0,0,113507.0
12,9,44,130,0,0,77,0.0,0.0,1.0,0.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,48953.0
23,9,54540,8314,0,1,2,0.0,0.0,1.0,0.0,0.67,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0,83756.0
23,9,306,2507,0,1,5,0.0,0.0,1.0,0.0,0.33,255,248,0.97,0.01,0.0,0.0,0.0,0.0,0,98296.0
23,9,175,1487,0,1,3,0.0,0.0,1.0,0.0,0.33,3,154,1.0,0.0,0.07,0.0,0.0,0.0,0,88205.0
23,9,216,3550,0,1,35,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,2845.0
12,9,45,127,0,0,177,0.0,0.0,0.99,0.01,0.0,66,33,0.5,0.03,0.0,0.0,0.0,0.0,0,73100.0
12,9,35,35,0,0,2,0.0,0.0,1.0,0.0,0.67,255,242,0.95,0.01,0.0,0.0,0.0,0.0,0,108880.0
41,9,145,105,0,0,4,0.0,0.0,0.5,0.5,0.0,196,2,0.01,0.55,0.0,0.0,0.0,0.0,0,10427.0
46,5,0,0,0,0,63,1.0,1.0,0.02,0.08,0.0,243,1,0.0,0.07,0.0,1.0,1.0,0.0,0,87567.0
23,9,240,11740,0,1,1,0.0,0.0,1.0,0.0,1.0,15,255,1.0,0.0,0.05,0.0,0.0,0.0,0,62425.0
23,9,301,6363,0,1,3,0.0,0.0,1.0,0.0,0.5,47,255,1.0,0.0,0.03,0.0,0.0,0.0,0,108712.0
62,9,78,0,0,0,31,0.0,0.0,0.03,0.06,0.0,255,19,0.07,0.01,0.0,0.0,0.0,0.0,0,58104.0
41,9,146,105,0,0,4,0.0,0.0,0.5,0.5,0.0,255,2,0.01,0.58,0.0,0.0,0.0,0.0,0,68033.0
62,9,78,0,0,0,10,0.0,0.0,0.2,0.2,0.0,255,12,0.05,0.01,0.0,0.0,0.0,0.0,0,123008.0
41,4,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,255,1,0.0,1.0,0.0,0.0,0.0,1.0,0,38151.0
46,5,0,0,0,0,101,1.0,1.0,0.04,0.09,0.0,255,4,0.02,0.07,0.0,1.0,1.0,0.0,0,113419.0
46,5,0,0,0,0,226,1.0,1.0,0.02,0.06,0.0,255,5,0.02,0.07,0.0,1.0,1.0,0.0,0,8961.0
23,9,215,1469,0,1,3,0.0,0.0,1.0,0.0,0.0,35,255,1.0,0.0,0.05,0.0,0.0,0.0,0,23826.0
23,9,225,3958,0,1,8,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,102291.0
23,9,320,5592,0,1,1,0.0,0.0,1.0,0.0,0.5,7,255,1.0,0.0,0.03,0.0,0.0,0.0,0,48251.0
23,9,312,2364,0,1,25,0.0,0.0,1.0,0.0,0.0,220,255,1.0,0.0,0.02,0.0,0.0,0.0,0,70559.0
46,5,0,0,0,0,218,1.0,1.0,0.05,0.06,0.0,255,9,0.04,0.08,0.0,1.0,1.0,0.0,0,37454.0
46,5,0,0,0,0,205,1.0,1.0,0.01,0.07,0.0,255,11,0.04,0.05,0.0,1.0,1.0,0.0,0,13344.0
23,9,222,296,0,1,24,0.0,0.0,1.0,0.0,0.05,24,255,1.0,0.0,0.03,0.0,0.0,0.0,0,29715.0
41,1,0,0,0,0,429,0.08,0.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.07,0.0,1.0,0,79724.0
23,9,324,1564,0,1,27,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.01,0.01,0.0,0,78408.0
20,1,0,0,0,0,220,0.0,0.0,0.05,0.07,0.0,255,12,0.05,0.08,0.0,0.0,0.0,1.0,0,8819.0
20,9,854,0,0,1,5,0.0,0.0,1.0,0.0,0.0,112,51,0.46,0.05,0.0,0.0,0.0,0.0,0,83875.0
23,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1,250,1.0,0.0,0.08,0.0,0.0,0.38,0,68361.0
46,5,0,0,0,0,233,1.0,1.0,0.06,0.06,0.0,255,13,0.05,0.05,0.0,1.0,1.0,0.0,0,122397.0
51,9,1378,387,0,1,1,0.0,0.0,1.0,0.0,0.0,159,143,0.39,0.03,0.01,0.0,0.0,0.0,0,82753.0
22,5,0,0,0,0,135,1.0,1.0,0.05,0.06,0.0,255,1,0.0,0.06,0.0,1.0,1.0,0.0,0,94414.0
4,5,0,0,0,0,283,1.0,1.0,0.05,0.06,0.0,255,13,0.05,0.08,0.0,1.0,1.0,0.0,0,125889.0
51,9,1999,327,0,1,1,0.0,0.0,1.0,0.0,1.0,147,137,0.62,0.03,0.01,0.0,0.0,0.0,0,104796.0
23,9,164,12513,0,1,1,0.0,0.0,1.0,0.0,0.0,1,255,1.0,0.0,0.02,0.0,0.0,0.0,0,56430.0
63,5,0,0,0,0,115,1.0,1.0,0.15,0.07,0.0,255,17,0.07,0.07,0.0,1.0,1.0,0.0,0,70415.0
20,9,14189,0,0,1,3,0.0,0.0,1.0,0.0,0.0,26,74,0.92,0.08,0.03,0.0,0.0,0.0,0,117537.0
